MtrunA17_CPg0492191	Medtr4g006140
MtrunA17_CPg0493071	Medtr4g051135
MtrunA17_CPg0493081	Medtr4g051140
MtrunA17_CPg0493101	Medtr4g034990
MtrunA17_CPg0493121	Medtr3g051095
MtrunA17_CPg0493121	Medtr4g034985
MtrunA17_CPg0493121	Medtr4g035267
MtrunA17_CPg0493121	Medtr4g051185
MtrunA17_CPg0493121	Medtr5g084157
MtrunA17_CPg0493131	Medtr4g053870
MtrunA17_CPg0493131	Medtr8g014470
MtrunA17_CPg0493131	Medtr4g034980
MtrunA17_CPg0493131	Medtr4g051180
MtrunA17_CPg0493161	Medtr4g034967
MtrunA17_CPg0493161	Medtr4g051167
MtrunA17_CPg0493161	Medtr8g056775
MtrunA17_CPg0493171	Medtr4g034970
MtrunA17_CPg0493171	Medtr4g051170
MtrunA17_CPg0493171	Medtr8g056780
MtrunA17_CPg0493191	Medtr4g034966
MtrunA17_CPg0493191	Medtr4g051166
MtrunA17_CPg0493201	Medtr4g034965
MtrunA17_CPg0493201	Medtr4g051165
MtrunA17_CPg0493201	Medtr3g035615
MtrunA17_CPg0493211	Medtr4g034960
MtrunA17_CPg0493211	Medtr4g051160
MtrunA17_CPg0493211	Medtr3g035610
MtrunA17_CPg0493221	Medtr3g035600
MtrunA17_CPg0493221	Medtr4g051150
MtrunA17_CPg0493231	Medtr3g035600
MtrunA17_CPg0493231	Medtr4g051150
MtrunA17_CPg0493231	Medtr4g034650
MtrunA17_CPg0493261	Medtr4g035010
MtrunA17_CPg0493291	Medtr4g035010
MtrunA17_CPg0493291	Medtr4g051210
MtrunA17_CPg0493291	Medtr6g014600
MtrunA17_CPg0493311	Medtr4g035020
MtrunA17_CPg0493311	Medtr4g051220
MtrunA17_CPg0493311	Medtr6g014610
MtrunA17_CPg0493321	Medtr4g035025
MtrunA17_CPg0493321	Medtr4g051216
MtrunA17_CPg0493331	Medtr4g035030
MtrunA17_CPg0493331	Medtr4g051230
MtrunA17_CPg0493331	Medtr7g021810
MtrunA17_CPg0493341	Medtr4g051240
MtrunA17_CPg0493341	Medtr4g035040
MtrunA17_CPg0493341	Medtr4g053840
MtrunA17_CPg0493341	Medtr7g021800
MtrunA17_CPR0000430	Medtr4g035040
MtrunA17_CPR0000430	Medtr4g053840
MtrunA17_CPR0000430	Medtr7g021800
MtrunA17_CPg0493361	Medtr4g051250
MtrunA17_CPg0493361	Medtr4g053850
MtrunA17_CPg0493361	Medtr7g021790
MtrunA17_CPg0493371	Medtr4g051250
MtrunA17_CPg0493371	Medtr7g021790
MtrunA17_CPg0493401	Medtr3g035730
MtrunA17_CPg0493401	Medtr4g051260
MtrunA17_CPg0493401	Medtr7g021780
MtrunA17_CPg0493411	Medtr7g021770
MtrunA17_CPg0493411	Medtr4g051270
MtrunA17_CPg0493411	Medtr7g117930
MtrunA17_CPg0493421	Medtr4g051280
MtrunA17_CPg0493421	Medtr3g035685
MtrunA17_CPg0493421	Medtr7g021760
MtrunA17_CPg0493441	Medtr4g051290
MtrunA17_CPg0493441	Medtr7g021750
MtrunA17_CPg0493461	Medtr1g005225
MtrunA17_CPg0493461	Medtr1g005755
MtrunA17_CPg0493461	Medtr4g051295
MtrunA17_CPg0493461	Medtr4g100595
MtrunA17_CPg0493461	Medtr7g021746
MtrunA17_Chr0c01g0489101	Medtr5g051060
MtrunA17_Chr0c01R0004060	Medtr8g062685
MtrunA17_Chr0c02g0489751	Medtr7g054190
MtrunA17_Chr0c02R0003300	Medtr7g054195
MtrunA17_Chr0c02R0003510	Medtr7g054220
MtrunA17_Chr0c02g0489761	Medtr7g054260
MtrunA17_Chr0c02R0004000	Medtr7g054290
MtrunA17_Chr0c02R0004190	Medtr7g054370
MtrunA17_Chr0c02R0004210	Medtr7g054390
MtrunA17_Chr0c02R0004630	Medtr7g054450
MtrunA17_Chr0c03g0489871	Medtr1g006270
MtrunA17_Chr0c03g0489991	Medtr1g006340
MtrunA17_Chr0c03R0000240	Medtr1g006370
MtrunA17_Chr0c04g0492001	Medtr3g102400
MtrunA17_Chr0c04g0492031	Medtr3g102400
MtrunA17_Chr0c04g0492091	Medtr4g034790
MtrunA17_Chr0c06g0493471	Medtr1g031440
MtrunA17_Chr0c09g0493561	Medtr1g101315
MtrunA17_Chr0c09g0493561	Medtr2g010455
MtrunA17_Chr0c09g0493561	Medtr4g063555
MtrunA17_Chr0c09g0493561	Medtr5g038565
MtrunA17_Chr0c09g0493561	Medtr6g080715
MtrunA17_Chr0c09g0493561	Medtr6g080735
MtrunA17_Chr0c09g0493561	Medtr7g075315
MtrunA17_Chr0c09g0493561	Medtr7g117875
MtrunA17_Chr0c09g0493561	Medtr8g035905
MtrunA17_Chr0c09g0493561	Medtr8g063135
MtrunA17_Chr0c09g0493561	Medtr5g044995
MtrunA17_Chr0c09g0493571	Medtr1g018425
MtrunA17_Chr0c09g0493571	Medtr3g092135
MtrunA17_Chr0c09g0493571	Medtr4g106905
MtrunA17_Chr0c09g0493571	Medtr5g030585
MtrunA17_Chr0c09g0493571	Medtr5g092955
MtrunA17_Chr0c09g0493571	Medtr8g091205
MtrunA17_Chr0c19g0493771	Medtr7g079440
MtrunA17_Chr0c19g0493781	Medtr7g079430
MtrunA17_Chr0c19g0493791	Medtr7g079430
MtrunA17_Chr0c20g0493831	Medtr4g123860
MtrunA17_Chr0c20g0493841	Medtr4g123850
MtrunA17_Chr0c28g0493941	Medtr4g116140
MtrunA17_Chr0c28R0000070	Medtr4g116140
MtrunA17_Chr0c28g0493951	Medtr4g116130
MtrunA17_Chr0c28R0000090	Medtr4g116130
MtrunA17_Chr0c29g0493991	Medtr7g081260
MtrunA17_Chr0c29g0494001	Medtr7g081270
MtrunA17_Chr0c30g0494091	Medtr4g131750
MtrunA17_Chr0c30g0494101	Medtr4g131740
MtrunA17_Chr0c31g0494121	Medtr2g100075
MtrunA17_Chr0c31g0494121	Medtr4g127305
MtrunA17_Chr0c31g0494131	Medtr4g127310
MtrunA17_Chr0c31g0494141	Medtr4g127320
MtrunA17_Chr1g0146151	Medtr1g006520
MtrunA17_Chr1g0146151	Medtr1g006550
MtrunA17_Chr1g0146161	Medtr1g006490
MtrunA17_Chr1g0146171	Medtr1g006590
MtrunA17_Chr1g0146181	Medtr1g006600
MtrunA17_Chr1R0000430	Medtr1g006670
MtrunA17_Chr1g0146191	Medtr1g006660
MtrunA17_Chr1R0000460	Medtr1g006570
MtrunA17_Chr1R0000470	Medtr1g006570
MtrunA17_Chr1g0146201	Medtr1g006690
MtrunA17_Chr1g0146211	Medtr1g006580
MtrunA17_Chr1g0146221	Medtr1g006580
MtrunA17_Chr1g0146231	Medtr1g006650
MtrunA17_Chr1g0146241	Medtr1g006980
MtrunA17_Chr1g0146251	Medtr1g006990
MtrunA17_Chr1R0000800	Medtr1g007010
MtrunA17_Chr1g0146271	Medtr1g007030
MtrunA17_Chr1g0146281	Medtr1g007060
MtrunA17_Chr1R0000960	Medtr1g007090
MtrunA17_Chr1g0146291	Medtr1g007120
MtrunA17_Chr1g0146301	Medtr1g007150
MtrunA17_Chr1g0146311	Medtr1g007160
MtrunA17_Chr1g0146321	Medtr1g007170
MtrunA17_Chr1g0146331	Medtr1g007180
MtrunA17_Chr1g0146351	Medtr1g007190
MtrunA17_Chr1g0146361	Medtr1g007200
MtrunA17_Chr1g0146371	Medtr1g007220
MtrunA17_Chr1g0146381	Medtr1g007230
MtrunA17_Chr1g0146391	Medtr1g007240
MtrunA17_Chr1g0146401	Medtr1g007260
MtrunA17_Chr1g0146411	Medtr1g007270
MtrunA17_Chr1R0001240	Medtr1g007290
MtrunA17_Chr1g0146421	Medtr1g007300
MtrunA17_Chr1g0146431	Medtr1g007330
MtrunA17_Chr1g0146431	Medtr1g007320
MtrunA17_Chr1g0146461	Medtr1g007340
MtrunA17_Chr1g0146471	Medtr1g007360
MtrunA17_Chr1g0146481	Medtr1g007370
MtrunA17_Chr1g0146491	Medtr1g007380
MtrunA17_Chr1g0146501	Medtr1g007390
MtrunA17_Chr1g0146511	Medtr1g007395
MtrunA17_Chr1R0001710	Medtr1g007395
MtrunA17_Chr1R0001750	Medtr1g007400
MtrunA17_Chr1g0146521	Medtr1g007410
MtrunA17_Chr1g0146541	Medtr1g007450
MtrunA17_Chr1g0146551	Medtr1g007460
MtrunA17_Chr1g0146561	Medtr1g007480
MtrunA17_Chr1g0146571	Medtr1g007485
MtrunA17_Chr1g0146571	Medtr3g098685
MtrunA17_Chr1g0146571	Medtr5g018005
MtrunA17_Chr1g0146571	Medtr5g024885
MtrunA17_Chr1g0146571	Medtr7g052215
MtrunA17_Chr1g0146571	Medtr7g052225
MtrunA17_Chr1g0146571	Medtr7g052825
MtrunA17_Chr1g0146581	Medtr1g007490
MtrunA17_Chr1g0146591	Medtr1g007500
MtrunA17_Chr1g0146601	Medtr1g007500
MtrunA17_Chr1g0146621	Medtr1g007510
MtrunA17_Chr1g0146631	Medtr1g007520
MtrunA17_Chr1R0001970	Medtr1g007530
MtrunA17_Chr1g0146641	Medtr1g007540
MtrunA17_Chr1R0002040	Medtr1g007560
MtrunA17_Chr1g0146651	Medtr1g007580
MtrunA17_Chr1g0146661	Medtr1g007590
MtrunA17_Chr1g0146671	Medtr1g007600
MtrunA17_Chr1g0146681	Medtr1g007610
MtrunA17_Chr1g0146691	Medtr1g007630
MtrunA17_Chr1g0146701	Medtr1g007640
MtrunA17_Chr1g0146721	Medtr1g007660
MtrunA17_Chr1g0146731	Medtr1g007670
MtrunA17_Chr1g0146741	Medtr1g007690
MtrunA17_Chr1R0002240	Medtr1g007700
MtrunA17_Chr1g0146751	Medtr1g007700
MtrunA17_Chr1g0146761	Medtr1g007700
MtrunA17_Chr1g0146771	Medtr1g007740
MtrunA17_Chr1g0146791	Medtr1g007755
MtrunA17_Chr1g0146811	Medtr1g007800
MtrunA17_Chr1g0146831	Medtr1g007810
MtrunA17_Chr1g0146851	Medtr1g007830
MtrunA17_Chr1g0146861	Medtr1g007840
MtrunA17_Chr1g0146881	Medtr1g007860
MtrunA17_Chr1g0146901	Medtr1g007870
MtrunA17_Chr1g0146911	Medtr1g007880
MtrunA17_Chr1R0002550	Medtr1g007900
MtrunA17_Chr1g0146931	Medtr1g007920
MtrunA17_Chr1R0002570	Medtr1g007930
MtrunA17_Chr1g0146991	Medtr1g007990
MtrunA17_Chr1g0147001	Medtr1g008000
MtrunA17_Chr1R0002830	Medtr1g008040
MtrunA17_Chr1g0147011	Medtr1g008050
MtrunA17_Chr1g0147021	Medtr1g008060
MtrunA17_Chr1g0147031	Medtr1g008090
MtrunA17_Chr1g0147041	Medtr1g008120
MtrunA17_Chr1g0147051	Medtr1g008140
MtrunA17_Chr1g0147071	Medtr1g008160
MtrunA17_Chr1g0147081	Medtr1g008170
MtrunA17_Chr1g0147101	Medtr1g008200
MtrunA17_Chr1g0147111	Medtr1g008220
MtrunA17_Chr1g0147121	Medtr1g008230
MtrunA17_Chr1g0147141	Medtr1g008240
MtrunA17_Chr1g0147151	Medtr1g008280
MtrunA17_Chr1R0003370	Medtr1g008290
MtrunA17_Chr1g0147161	Medtr1g008300
MtrunA17_Chr1g0147171	Medtr1g008310
MtrunA17_Chr1g0147181	Medtr1g008330
MtrunA17_Chr1g0147191	Medtr1g008350
MtrunA17_Chr1g0147201	Medtr1g008360
MtrunA17_Chr1g0147211	Medtr1g008370
MtrunA17_Chr1g0147221	Medtr1g008380
MtrunA17_Chr1R0003480	Medtr1g008440
MtrunA17_Chr1g0147241	Medtr1g008450
MtrunA17_Chr1g0147261	Medtr1g008470
MtrunA17_Chr1g0147271	Medtr1g008500
MtrunA17_Chr1g0147291	Medtr1g008510
MtrunA17_Chr1g0147301	Medtr1g008530
MtrunA17_Chr1R0003780	Medtr1g008550
MtrunA17_Chr1g0147311	Medtr1g008560
MtrunA17_Chr1R0003830	Medtr1g008570
MtrunA17_Chr1g0147331	Medtr1g008590
MtrunA17_Chr1g0147341	Medtr1g008600
MtrunA17_Chr1g0147351	Medtr1g008610
MtrunA17_Chr1g0147361	Medtr1g008620
MtrunA17_Chr1g0147371	Medtr1g008670
MtrunA17_Chr1g0147381	Medtr1g008680
MtrunA17_Chr1g0147391	Medtr1g008690
MtrunA17_Chr1g0147401	Medtr1g008700
MtrunA17_Chr1g0147421	Medtr1g008740
MtrunA17_Chr1g0147431	Medtr1g008875
MtrunA17_Chr1g0147431	Medtr2g063275
MtrunA17_Chr1g0147431	Medtr7g075985
MtrunA17_Chr1g0147431	Medtr7g116305
MtrunA17_Chr1g0147431	Medtr7g116865
MtrunA17_Chr1g0147451	Medtr1g008900
MtrunA17_Chr1g0147461	Medtr1g008935
MtrunA17_Chr1g0147461	Medtr2g063275
MtrunA17_Chr1g0147481	Medtr1g008860
MtrunA17_Chr1g0147481	Medtr1g008980
MtrunA17_Chr1g0147491	Medtr1g008850
MtrunA17_Chr1g0147491	Medtr1g008990
MtrunA17_Chr1g0147501	Medtr1g009010
MtrunA17_Chr1g0147511	Medtr1g009030
MtrunA17_Chr1g0147531	Medtr1g009040
MtrunA17_Chr1R0004750	Medtr1g009110
MtrunA17_Chr1g0147551	Medtr1g009110
MtrunA17_Chr1g0147561	Medtr1g009120
MtrunA17_Chr1R0004840	Medtr1g009140
MtrunA17_Chr1g0147571	Medtr1g009150
MtrunA17_Chr1g0147591	Medtr1g009170
MtrunA17_Chr1g0147601	Medtr1g009180
MtrunA17_Chr1g0147611	Medtr1g009190
MtrunA17_Chr1g0147631	Medtr1g009200
MtrunA17_Chr1g0147641	Medtr1g009210
MtrunA17_Chr1g0147651	Medtr1g009220
MtrunA17_Chr1g0147661	Medtr1g009225
MtrunA17_Chr1g0147661	Medtr3g086595
MtrunA17_Chr1g0147661	Medtr3g087235
MtrunA17_Chr1g0147661	Medtr3g087245
MtrunA17_Chr1g0147661	Medtr4g096715
MtrunA17_Chr1g0147661	Medtr4g096745
MtrunA17_Chr1g0147661	Medtr5g083985
MtrunA17_Chr1g0147661	Medtr8g038235
MtrunA17_Chr1g0147661	Medtr4g115706
MtrunA17_Chr1g0147671	Medtr1g009230
MtrunA17_Chr1g0147681	Medtr1g009240
MtrunA17_Chr1g0147691	Medtr1g009260
MtrunA17_Chr1g0147701	Medtr1g009270
MtrunA17_Chr1g0147711	Medtr1g009280
MtrunA17_Chr1g0147731	Medtr1g009310
MtrunA17_Chr1g0147731	Medtr1g009510
MtrunA17_Chr1g0147741	Medtr1g009320
MtrunA17_Chr1g0147741	Medtr1g009520
MtrunA17_Chr1g0147751	Medtr1g009540
MtrunA17_Chr1g0147761	Medtr1g009330
MtrunA17_Chr1R0005130	Medtr1g009330
MtrunA17_Chr1g0147781	Medtr1g009550
MtrunA17_Chr1g0147821	Medtr1g009580
MtrunA17_Chr1g0147841	Medtr1g009600
MtrunA17_Chr1g0147851	Medtr1g009610
MtrunA17_Chr1R0005270	Medtr1g009430
MtrunA17_Chr1g0147871	Medtr1g009400
MtrunA17_Chr1g0147881	Medtr1g009380
MtrunA17_Chr1R0005470	Medtr1g009390
MtrunA17_Chr1g0147901	Medtr1g009480
MtrunA17_Chr1R0005510	Medtr1g009460
MtrunA17_Chr1R0005520	Medtr1g009450
MtrunA17_Chr1g0147911	Medtr1g009620
MtrunA17_Chr1g0147921	Medtr1g009640
MtrunA17_Chr1g0147931	Medtr1g009650
MtrunA17_Chr1g0147941	Medtr1g009660
MtrunA17_Chr1g0147951	Medtr1g009680
MtrunA17_Chr1g0147961	Medtr1g009690
MtrunA17_Chr1R0005720	Medtr2g087940
MtrunA17_Chr1R0005720	Medtr5g093420
MtrunA17_Chr1g0148571	Medtr1g011280
MtrunA17_Chr1R0008110	Medtr1g011300
MtrunA17_Chr1g0148591	Medtr1g011310
MtrunA17_Chr1R0008370	Medtr1g011330
MtrunA17_Chr1g0148631	Medtr1g011380
MtrunA17_Chr1g0148641	Medtr1g011400
MtrunA17_Chr1R0008480	Medtr1g011410
MtrunA17_Chr1g0148651	Medtr1g011410
MtrunA17_Chr1g0148661	Medtr1g011430
MtrunA17_Chr1g0148671	Medtr1g011460
MtrunA17_Chr1g0148681	Medtr1g011470
MtrunA17_Chr1R0008610	Medtr1g011490
MtrunA17_Chr1g0148711	Medtr1g082860
MtrunA17_Chr1g0148711	Medtr5g050810
MtrunA17_Chr1g0148731	Medtr1g011510
MtrunA17_Chr1g0148741	Medtr1g011520
MtrunA17_Chr1g0148751	Medtr1g011540
MtrunA17_Chr1g0148771	Medtr1g011580
MtrunA17_Chr1g0148781	Medtr1g011600
MtrunA17_Chr1g0148791	Medtr1g011610
MtrunA17_Chr1g0148801	Medtr1g011630
MtrunA17_Chr1g0148811	Medtr1g011640
MtrunA17_Chr1g0148841	Medtr1g011650
MtrunA17_Chr1g0148851	Medtr1g011660
MtrunA17_Chr1g0148881	Medtr1g011690
MtrunA17_Chr1g0148891	Medtr1g011700
MtrunA17_Chr1g0148901	Medtr1g011710
MtrunA17_Chr1g0148921	Medtr1g011720
MtrunA17_Chr1g0148941	Medtr1g011730
MtrunA17_Chr1g0148951	Medtr1g011750
MtrunA17_Chr1g0148961	Medtr1g011850
MtrunA17_Chr1g0148971	Medtr1g011840
MtrunA17_Chr1g0148991	Medtr1g011880
MtrunA17_Chr1R0009490	Medtr1g011820
MtrunA17_Chr1g0149031	Medtr5g031005
MtrunA17_Chr1g0149031	Medtr5g031015
MtrunA17_Chr1g0149051	Medtr1g011800
MtrunA17_Chr1g0149061	Medtr1g011980
MtrunA17_Chr1g0149071	Medtr1g011990
MtrunA17_Chr1g0149101	Medtr1g012020
MtrunA17_Chr1g0149111	Medtr1g012030
MtrunA17_Chr1R0009810	Medtr1g012050
MtrunA17_Chr1R0010000	Medtr1g012080
MtrunA17_Chr1R0010020	Medtr1g012090
MtrunA17_Chr1g0149141	Medtr1g012210
MtrunA17_Chr1g0149141	Medtr1g012160
MtrunA17_Chr1g0149171	Medtr1g012210
MtrunA17_Chr1g0149171	Medtr1g012160
MtrunA17_Chr1R0010340	Medtr1g012220
MtrunA17_Chr1R0010410	Medtr1g012250
MtrunA17_Chr1R0010420	Medtr1g012250
MtrunA17_Chr1g0149181	Medtr1g012280
MtrunA17_Chr1g0149211	Medtr1g012360
MtrunA17_Chr1g0149221	Medtr1g012370
MtrunA17_Chr1g0149231	Medtr1g012380
MtrunA17_Chr1g0149241	Medtr1g012390
MtrunA17_Chr1g0149251	Medtr1g012420
MtrunA17_Chr1g0149271	Medtr1g012430
MtrunA17_Chr1g0149291	Medtr1g012425
MtrunA17_Chr1g0149291	Medtr1g019535
MtrunA17_Chr1g0149291	Medtr3g070105
MtrunA17_Chr1g0149291	Medtr3g117765
MtrunA17_Chr1g0149291	Medtr4g079365
MtrunA17_Chr1g0149301	Medtr1g012440
MtrunA17_Chr1g0149331	Medtr1g012470
MtrunA17_Chr1g0149341	Medtr1g012480
MtrunA17_Chr1g0149351	Medtr1g012520
MtrunA17_Chr1g0149361	Medtr1g012530
MtrunA17_Chr1g0149371	Medtr1g012540
MtrunA17_Chr1g0149381	Medtr1g012550
MtrunA17_Chr1R0011040	Medtr1g012550
MtrunA17_Chr1g0149391	Medtr1g012570
MtrunA17_Chr1g0149401	Medtr1g012590
MtrunA17_Chr1g0149411	Medtr1g012600
MtrunA17_Chr1g0149451	Medtr1g012610
MtrunA17_Chr1g0149461	Medtr1g012620
MtrunA17_Chr1g0149471	Medtr1g012630
MtrunA17_Chr1R0011250	Medtr1g012650
MtrunA17_Chr1g0149481	Medtr1g012700
MtrunA17_Chr1g0149491	Medtr1g012710
MtrunA17_Chr1g0149501	Medtr1g012760
MtrunA17_Chr1g0149591	Medtr2g018095
MtrunA17_Chr1g0149591	Medtr5g015735
MtrunA17_Chr1g0149591	Medtr5g022506
MtrunA17_Chr1g0149591	Medtr5g031015
MtrunA17_Chr1g0149591	Medtr5g076616
MtrunA17_Chr1g0149591	Medtr7g035135
MtrunA17_Chr1g0149591	Medtr7g102315
MtrunA17_Chr1g0149591	Medtr8g087395
MtrunA17_Chr1g0149631	Medtr1g008875
MtrunA17_Chr1g0149631	Medtr2g063275
MtrunA17_Chr1g0149631	Medtr3g094845
MtrunA17_Chr1g0149631	Medtr7g075955
MtrunA17_Chr1g0149631	Medtr7g075965
MtrunA17_Chr1g0149631	Medtr7g075985
MtrunA17_Chr1g0149631	Medtr7g116305
MtrunA17_Chr1g0149631	Medtr7g116865
MtrunA17_Chr1g0149871	Medtr1g014360
MtrunA17_Chr1R0012430	Medtr1g014370
MtrunA17_Chr1g0149891	Medtr1g014390
MtrunA17_Chr1g0149901	Medtr1g014390
MtrunA17_Chr1R0012490	Medtr1g014370
MtrunA17_Chr1g0149921	Medtr1g014450
MtrunA17_Chr1g0149941	Medtr1g014420
MtrunA17_Chr1g0149951	Medtr1g014340
MtrunA17_Chr1g0149961	Medtr1g014320
MtrunA17_Chr1g0149971	Medtr1g014270
MtrunA17_Chr1g0149991	Medtr1g014260
MtrunA17_Chr1g0150001	Medtr1g014250
MtrunA17_Chr1g0150011	Medtr1g014240
MtrunA17_Chr1g0150021	Medtr1g014230
MtrunA17_Chr1g0150031	Medtr1g014220
MtrunA17_Chr1g0150041	Medtr1g014220
MtrunA17_Chr1g0150061	Medtr1g014210
MtrunA17_Chr1g0150071	Medtr1g014190
MtrunA17_Chr1g0150081	Medtr1g014180
MtrunA17_Chr1g0150111	Medtr1g014140
MtrunA17_Chr1g0150121	Medtr1g014130
MtrunA17_Chr1g0150131	Medtr1g014120
MtrunA17_Chr1g0150141	Medtr1g014110
MtrunA17_Chr1g0150151	Medtr1g014090
MtrunA17_Chr1g0150161	Medtr1g014100
MtrunA17_Chr1g0150181	Medtr1g014080
MtrunA17_Chr1g0150191	Medtr1g014070
MtrunA17_Chr1g0150201	Medtr1g014060
MtrunA17_Chr1g0150221	Medtr1g014040
MtrunA17_Chr1R0013610	Medtr1g013930
MtrunA17_Chr1R0013610	Medtr1g013970
MtrunA17_Chr1R0013610	Medtr1g013890
MtrunA17_Chr1R0013640	Medtr1g013930
MtrunA17_Chr1R0013640	Medtr1g013970
MtrunA17_Chr1R0013640	Medtr1g013890
MtrunA17_Chr1R0013690	Medtr1g013930
MtrunA17_Chr1R0013690	Medtr1g013970
MtrunA17_Chr1R0013690	Medtr1g013890
MtrunA17_Chr1R0013720	Medtr1g013930
MtrunA17_Chr1R0013720	Medtr1g013970
MtrunA17_Chr1R0013720	Medtr1g013890
MtrunA17_Chr1R0013750	Medtr1g013890
MtrunA17_Chr1R0013750	Medtr1g013930
MtrunA17_Chr1R0013750	Medtr1g013970
MtrunA17_Chr1g0150231	Medtr1g013840
MtrunA17_Chr1g0150241	Medtr1g013820
MtrunA17_Chr1g0150261	Medtr1g013800
MtrunA17_Chr1g0150271	Medtr1g013790
MtrunA17_Chr1g0150281	Medtr1g013760
MtrunA17_Chr1g0150291	Medtr1g013740
MtrunA17_Chr1g0150301	Medtr1g013730
MtrunA17_Chr1g0150311	Medtr1g013720
MtrunA17_Chr1g0150321	Medtr1g013700
MtrunA17_Chr1g0150331	Medtr1g013680
MtrunA17_Chr1g0150361	Medtr1g013650
MtrunA17_Chr1g0150371	Medtr1g013640
MtrunA17_Chr1g0150381	Medtr1g013620
MtrunA17_Chr1g0150391	Medtr1g013610
MtrunA17_Chr1R0014690	Medtr1g013550
MtrunA17_Chr1g0150411	Medtr1g013560
MtrunA17_Chr1g0150431	Medtr1g013280
MtrunA17_Chr1g0150451	Medtr1g013400
MtrunA17_Chr1g0150471	Medtr1g013450
MtrunA17_Chr1g0150481	Medtr1g013440
MtrunA17_Chr1g0150491	Medtr1g013430
MtrunA17_Chr1g0150501	Medtr1g013410
MtrunA17_Chr1g0150511	Medtr1g013360
MtrunA17_Chr1R0016050	Medtr1g014990
MtrunA17_Chr1g0150721	Medtr1g015000
MtrunA17_Chr1g0150731	Medtr1g015010
MtrunA17_Chr1g0150741	Medtr1g015020
